Count,ActiveProcessingCount_mean,ActiveProcessingCount_median,ActiveProcessingCount_std_dev,ActiveProcessingCount_mode,Host_CPU_mean,Host_CPU_median,Host_CPU_std_dev,Host_CPU_mode,Host_Memory_Total_mean,Host_Memory_Total_median,Host_Memory_Total_std_dev,Host_Memory_Total_mode,Host_Memory_Used_mean,Host_Memory_Used_median,Host_Memory_Used_std_dev,Host_Memory_Used_mode,Host_Memory_UsedPercentage_mean,Host_Memory_UsedPercentage_median,Host_Memory_UsedPercentage_std_dev,Host_Memory_UsedPercentage_mode,Worker_CPU_mean,Worker_CPU_median,Worker_CPU_std_dev,Worker_CPU_mode,Worker_Memory_Total_mean,Worker_Memory_Total_median,Worker_Memory_Total_std_dev,Worker_Memory_Total_mode,Worker_Memory_Used_mean,Worker_Memory_Used_median,Worker_Memory_Used_std_dev,Worker_Memory_Used_mode,Worker_Memory_UsedPercentage_mean,Worker_Memory_UsedPercentage_median,Worker_Memory_UsedPercentage_std_dev,Worker_Memory_UsedPercentage_mode,Processing_CPU_1_mean,Processing_CPU_1_median,Processing_CPU_1_std_dev,Processing_CPU_1_mode,Processing_Memory_Total_1_mean,Processing_Memory_Total_1_median,Processing_Memory_Total_1_std_dev,Processing_Memory_Total_1_mode,Processing_Memory_Used_1_mean,Processing_Memory_Used_1_median,Processing_Memory_Used_1_std_dev,Processing_Memory_Used_1_mode,Processing_Memory_UsedPercentage_1_mean,Processing_Memory_UsedPercentage_1_median,Processing_Memory_UsedPercentage_1_std_dev,Processing_Memory_UsedPercentage_1_mode,Processing_CPU_2_mean,Processing_CPU_2_median,Processing_CPU_2_std_dev,Processing_CPU_2_mode,Processing_Memory_Total_2_mean,Processing_Memory_Total_2_median,Processing_Memory_Total_2_std_dev,Processing_Memory_Total_2_mode,Processing_Memory_Used_2_mean,Processing_Memory_Used_2_median,Processing_Memory_Used_2_std_dev,Processing_Memory_Used_2_mode,Processing_Memory_UsedPercentage_2_mean,Processing_Memory_UsedPercentage_2_median,Processing_Memory_UsedPercentage_2_std_dev,Processing_Memory_UsedPercentage_2_mode,Processing_CPU_3_mean,Processing_CPU_3_median,Processing_CPU_3_std_dev,Processing_CPU_3_mode,Processing_Memory_Total_3_mean,Processing_Memory_Total_3_median,Processing_Memory_Total_3_std_dev,Processing_Memory_Total_3_mode,Processing_Memory_Used_3_mean,Processing_Memory_Used_3_median,Processing_Memory_Used_3_std_dev,Processing_Memory_Used_3_mode,Processing_Memory_UsedPercentage_3_mean,Processing_Memory_UsedPercentage_3_median,Processing_Memory_UsedPercentage_3_std_dev,Processing_Memory_UsedPercentage_3_mode
0,0,0,0,0,2.186,1.09,3.586,1.65,20878358937.6,16595939328,22589491722.3702,16595943424,1126553190.4,922013696,619865944.4946,782217216,8.195,6.16,3.8715,3.48,7.031,2.58,10.6658,1.77,20878358937.6,16595939328,22589491722.3702,16595943424,72988672,73998336,3100517.3816,66670592,0.674,0.46,0.41,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,3.349,1.89,3.1438,0.31,20878358937.6,16595939328,22589491722.3702,16595943424,1123473408,918417408,619553393.6167,782217216,8.183,6.135,3.8884,3.48,29.686,33.855,10.8643,9.88,20878358937.6,16595939328,22589491722.3702,16595943424,80046489.6,73879552,17294322.7957,67547136,0.733,0.62,0.441,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,6.428,2.88,6.2812,0.5,20878358937.6,16595939328,22589491722.3702,16595943424,1124405657.6,924594176,619706081.1745,782217216,8.184,6.135,3.8755,3.48,46.773,37.43,30.0252,16.09,20878358937.6,16595939328,22589491722.3702,16595943424,88363417.6,75880448,22353711.0674,67563520,0.864,0.62,0.6256,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,16.032,4.905,19.9812,1.2,20878358937.6,16595939328,22589491722.3702,16595943424,1128282931.2,930387968,616834826.021,768688128,8.238,6.13,3.9277,3.48,44.393,44.16,17.818,1.66,20878358937.6,16595939328,22589491722.3702,16595943424,81793433.6,76322816,15817612.2963,68005888,0.808,0.47,0.6,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.1,0,0.3,0,16.9,14.555,12.2689,3.13,20878358937.6,16595939328,22589491722.3702,16595943424,1141078425.6,914139136,623287510.8267,787505152,8.282,6.055,3.9338,3.48,31.147,8.185,31.5098,1.17,20878358937.6,16595939328,22589491722.3702,16595943424,84740505.6,76851200,19215395.8315,70860800,0.848,0.47,0.6589,0.47,10.038,0,30.114,0,3332801331.2,0,9998403993.6,0,32138444.8,0,96415334.4,0,0.096,0,0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.1,0,0.3,0,15.77,3.85,16.9846,1.13,20878358937.6,16595939328,22589491722.3702,16595943424,1158889062.4,915605504,632726008.2305,786403328,8.351,6.055,3.9009,13.16,29.881,19.265,30.8143,1.06,20878358937.6,16595939328,22589491722.3702,16595943424,74667212.8,74772480,3432290.6328,69943296,0.683,0.48,0.4067,0.47,17.652,0,52.956,0,3332801331.2,0,9998403993.6,0,40590950.4,0,121772851.2,0,0.122,0,0.366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.5,0.5,0.5,0,19.161,13.015,15.543,4.57,20878358937.6,16595939328,22589491722.3702,16595943424,1188822630.4,956706816,673053987.2898,769953792,8.373,6.31,3.6568,3.64,6.768,0.9,7.5676,0.64,20878358937.6,16595939328,22589491722.3702,16595943424,75138252.8,75141120,2989673.2059,71135232,0.69,0.48,0.4126,0.47,94.637,50.055,115.0135,0,16734891622.4,8297967616,24963329393.5931,0,111590195.2,75554816,131748384.2269,0,0.429,0.15,0.4792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.6,1,0.4899,1,17.424,18.33,7.282,5.82,20878358937.6,16595939328,22589491722.3702,16595943424,1248309657.6,1067755520,696969857.5248,769716224,8.672,7.055,3.4685,3.79,2.399,0.88,3.6896,0.65,20878358937.6,16595939328,22589491722.3702,16595943424,75222220.8,75251712,2905623.2966,71143424,0.691,0.48,0.4137,0.47,86.915,99.58,105.1855,0,18394485964.8,16595939328,24339470658.3882,0,181660057.6,256129024,154145385.443,0,0.807,0.81,0.7456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.6,1,0.4899,1,13.331,12.73,4.9574,12.73,20878358937.6,16595939328,22589491722.3702,16595943424,1301664153.6,1181722624,716347769.1384,769945600,8.947,7.695,3.3145,3.9,1.369,1.045,0.8203,0.61,20878358937.6,16595939328,22589491722.3702,16595943424,75275059.2,75225088,2819677.0287,71548928,0.691,0.475,0.4128,0.47,98.185,100.595,107.4503,0,18394485964.8,16595939328,24339470658.3882,0,237089177.6,362819584,197557035.6928,0,1.079,0.995,1.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.6,1,0.4899,1,20.544,17.165,8.7439,12.64,20878358937.6,16595939328,22589491722.3702,16595943424,1356000051.2,1269211136,727868104.1956,778936320,9.243,8.325,3.2033,3.94,1.295,1.24,0.586,0.67,20878358937.6,16595939328,22589491722.3702,16595943424,75229184,75243520,2888248.3004,71065600,0.69,0.475,0.4142,0.47,146.61,179.84,144.7939,0,18394485964.8,16595939328,24339470658.3882,0,258936012.8,407271424,214178009.7703,0,1.202,1.04,1.1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
