Count,ServerTime,WorkerName,WorkerTime,ProcedureId,ActiveProcessingCount,Host_CPU,Host_Memory_Total,Host_Memory_Used,Host_Memory_UsedPercentage,Worker_CPU,Worker_Memory_Total,Worker_Memory_Used,Worker_Memory_UsedPercentage,ProcessingId_1,Processing_CPU_1,Processing_Memory_Total_1,Processing_Memory_Used_1,Processing_Memory_UsedPercentage_1,ProcessingId_2,Processing_CPU_2,Processing_Memory_Total_2,Processing_Memory_Used_2,Processing_Memory_UsedPercentage_2,ProcessingId_3,Processing_CPU_3,Processing_Memory_Total_3,Processing_Memory_Used_3,Processing_Memory_UsedPercentage_3
0,2025-03-14T05:19:53.944Z,w3,2025-03-14T05:20:20.647Z,2025-03-14-02-19-50@1,0,0.48,16595943424,910254080,5.48,2.56,16595943424,75399168,0.45,,,,,,,,,,,,,,,
1,2025-03-14T05:19:55.948Z,w3,2025-03-14T05:20:22.652Z,2025-03-14-02-19-50@1,0,0.63,16595943424,910254080,5.48,30.79,16595943424,129282048,0.78,,,,,,,,,,,,,,,
2,2025-03-14T05:19:55.948Z,w3,2025-03-14T05:20:22.652Z,2025-03-14-02-19-50@1,0,2.74,16595943424,914898944,5.51,30.79,16595943424,129282048,0.78,,,,,,,,,,,,,,,
3,2025-03-14T05:19:56.963Z,w3,2025-03-14T05:20:23.656Z,2025-03-14-02-19-50@1,0,3.89,16595943424,957788160,5.77,45.62,16595943424,76660736,0.46,,,,,,,,,,,,,,,
4,2025-03-14T05:19:57.957Z,w3,2025-03-14T05:20:24.660Z,2025-03-14-02-19-50@1,0,6.75,16595943424,904806400,5.45,7.07,16595943424,77324288,0.47,,,,,,,,,,,,,,,
5,2025-03-14T05:19:58.957Z,w3,2025-03-14T05:20:25.660Z,2025-03-14-02-19-50@1,0,1.13,16595943424,905482240,5.46,17.78,16595943424,78970880,0.48,,,,,,,,,,,,,,,
6,2025-03-14T05:19:59.961Z,w3,2025-03-14T05:20:26.663Z,2025-03-14-02-19-50@1,1,14.83,16595943424,947523584,5.71,0.64,16595943424,79175680,0.48,df1ad318-0b26-4029-8a81-8681c6d34c33,128.13,16595943424,155828224,0.94,,,,,,,,,,
7,2025-03-14T05:20:00.962Z,w3,2025-03-14T05:20:27.665Z,2025-03-14-02-19-50@1,1,18.14,16595943424,1056636928,6.37,0.65,16595943424,78979072,0.48,df1ad318-0b26-4029-8a81-8681c6d34c33,99.99,16595943424,280080384,1.69,,,,,,,,,,
8,2025-03-14T05:20:01.965Z,w3,2025-03-14T05:20:28.668Z,2025-03-14-02-19-50@1,1,12.72,16595943424,1174667264,7.08,0.61,16595943424,78729216,0.47,df1ad318-0b26-4029-8a81-8681c6d34c33,100.82,16595943424,367534080,2.21,,,,,,,,,,
9,2025-03-14T05:20:02.972Z,w3,2025-03-14T05:20:29.670Z,2025-03-14-02-19-50@1,1,12.69,16595943424,1259720704,7.59,0.68,16595943424,78729216,0.47,df1ad318-0b26-4029-8a81-8681c6d34c33,221.62,16595943424,413782016,2.49,,,,,,,,,,
10,2025-03-14T05:20:03.970Z,w3,2025-03-14T05:20:30.673Z,2025-03-14-02-19-50@1,1,25.38,16595943424,1298288640,7.82,0.75,16595943424,78667776,0.47,df1ad318-0b26-4029-8a81-8681c6d34c33,310.22,16595943424,416108544,2.51,,,,,,,,,,
11,2025-03-14T05:20:04.974Z,w3,2025-03-14T05:20:31.674Z,2025-03-14-02-19-50@1,1,40.85,16595943424,1299832832,7.83,0.72,16595943424,78671872,0.47,df1ad318-0b26-4029-8a81-8681c6d34c33,318.37,16595943424,417189888,2.51,,,,,,,,,,
12,2025-03-14T05:20:05.972Z,w3,2025-03-14T05:20:32.676Z,2025-03-14-02-19-50@1,1,39.92,16595943424,1301368832,7.84,0.64,16595943424,78667776,0.47,df1ad318-0b26-4029-8a81-8681c6d34c33,233.57,16595943424,499912704,3.01,,,,,,,,,,
13,2025-03-14T05:20:06.978Z,w3,2025-03-14T05:20:33.678Z,2025-03-14-02-19-50@1,1,31.41,16595943424,1386352640,8.35,0.55,16595943424,78667776,0.47,df1ad318-0b26-4029-8a81-8681c6d34c33,104.74,16595943424,531234816,3.2,,,,,,,,,,
14,2025-03-14T05:20:07.986Z,w3,2025-03-14T05:20:34.681Z,2025-03-14-02-19-50@1,1,12.7,16595943424,1423511552,8.58,0.55,16595943424,78667776,0.47,df1ad318-0b26-4029-8a81-8681c6d34c33,251.55,16595943424,557977600,3.36,,,,,,,,,,
15,2025-03-14T05:20:08.983Z,w3,2025-03-14T05:20:35.682Z,2025-03-14-02-19-50@1,1,31.24,16595943424,1448083456,8.73,5.66,16595943424,78884864,0.48,df1ad318-0b26-4029-8a81-8681c6d34c33,238.73,16595943424,593158144,3.57,,,,,,,,,,
16,2025-03-14T05:20:09.985Z,w3,2025-03-14T05:20:36.685Z,2025-03-14-02-19-50@1,1,31.04,16595943424,1478746112,8.91,20.98,16595943424,120131584,0.72,df1ad318-0b26-4029-8a81-8681c6d34c33,280.79,16595943424,610250752,3.68,,,,,,,,,,
17,2025-03-14T05:20:10.987Z,w3,2025-03-14T05:20:37.687Z,2025-03-14-02-19-50@1,1,35.95,16595943424,1516417024,9.14,63.87,16595943424,75464704,0.45,df1ad318-0b26-4029-8a81-8681c6d34c33,302,16595943424,609165312,3.67,,,,,,,,,,
18,2025-03-14T05:20:11.988Z,w3,2025-03-14T05:20:38.690Z,2025-03-14-02-19-50@1,1,48.36,16595943424,1491537920,8.99,0.78,16595943424,75206656,0.45,df1ad318-0b26-4029-8a81-8681c6d34c33,319.63,16595943424,609087488,3.67,,,,,,,,,,
19,2025-03-14T05:20:12.991Z,w3,2025-03-14T05:20:39.692Z,2025-03-14-02-19-50@1,1,38.1,16595943424,1494142976,9,0.68,16595943424,75210752,0.45,df1ad318-0b26-4029-8a81-8681c6d34c33,204.97,16595943424,625483776,3.77,,,,,,,,,,
20,2025-03-14T05:20:13.991Z,w3,2025-03-14T05:20:40.694Z,2025-03-14-02-19-50@1,1,29.1,16595943424,1515720704,9.13,0.53,16595943424,75214848,0.45,df1ad318-0b26-4029-8a81-8681c6d34c33,159.9,16595943424,629035008,3.79,,,,,,,,,,
21,2025-03-14T05:20:14.995Z,w3,2025-03-14T05:20:41.696Z,2025-03-14-02-19-50@1,1,19.8,16595943424,1521438720,9.17,0.56,16595943424,75210752,0.45,df1ad318-0b26-4029-8a81-8681c6d34c33,236.82,16595943424,634949632,3.83,,,,,,,,,,
22,2025-03-14T05:20:15.995Z,w3,2025-03-14T05:20:42.698Z,2025-03-14-02-19-50@1,1,29.91,16595943424,1528623104,9.21,6.42,16595943424,74985472,0.45,df1ad318-0b26-4029-8a81-8681c6d34c33,230.86,16595943424,643940352,3.88,,,,,,,,,,
23,2025-03-14T05:20:16.997Z,w3,2025-03-14T05:20:43.700Z,2025-03-14-02-19-50@1,1,28.3,16595943424,1539579904,9.28,24.57,16595943424,125595648,0.76,df1ad318-0b26-4029-8a81-8681c6d34c33,320.81,16595943424,645455872,3.89,,,,,,,,,,
24,2025-03-14T05:20:18.000Z,w3,2025-03-14T05:20:44.702Z,2025-03-14-02-19-50@1,1,37.88,16595943424,1547546624,9.32,62.66,16595943424,76668928,0.46,df1ad318-0b26-4029-8a81-8681c6d34c33,310.36,16595943424,644464640,3.88,,,,,,,,,,
25,2025-03-14T05:20:19.005Z,w3,2025-03-14T05:20:45.704Z,2025-03-14-02-19-50@1,1,47.63,16595943424,1527541760,9.2,0.79,16595943424,76419072,0.46,df1ad318-0b26-4029-8a81-8681c6d34c33,326.18,16595943424,645222400,3.89,,,,,,,,,,
26,2025-03-14T05:20:20.004Z,w3,2025-03-14T05:20:46.707Z,2025-03-14-02-19-50@1,1,37.34,16595943424,1528315904,9.21,0.61,16595943424,76427264,0.46,df1ad318-0b26-4029-8a81-8681c6d34c33,150.83,16595943424,657612800,3.96,,,,,,,,,,
27,2025-03-14T05:20:21.006Z,w3,2025-03-14T05:20:47.709Z,2025-03-14-02-19-50@1,1,20.98,16595943424,1545908224,9.31,0.53,16595943424,76652544,0.46,df1ad318-0b26-4029-8a81-8681c6d34c33,214.19,16595943424,667049984,4.02,,,,,,,,,,
28,2025-03-14T05:20:22.008Z,w3,2025-03-14T05:20:48.711Z,2025-03-14-02-19-50@1,1,25.6,16595943424,1553223680,9.36,0.52,16595943424,76431360,0.46,df1ad318-0b26-4029-8a81-8681c6d34c33,277.15,16595943424,683302912,4.12,,,,,,,,,,
29,2025-03-14T05:20:23.011Z,w3,2025-03-14T05:20:49.713Z,2025-03-14-02-19-50@1,1,35.21,16595943424,1571889152,9.47,6.18,16595943424,75685888,0.46,df1ad318-0b26-4029-8a81-8681c6d34c33,225.83,16595943424,705564672,4.25,,,,,,,,,,
