Count,ServerTime,WorkerName,WorkerTime,ProcedureId,ActiveProcessingCount,Host_CPU,Host_Memory_Total,Host_Memory_Used,Host_Memory_UsedPercentage,Worker_CPU,Worker_Memory_Total,Worker_Memory_Used,Worker_Memory_UsedPercentage,ProcessingId_1,Processing_CPU_1,Processing_Memory_Total_1,Processing_Memory_Used_1,Processing_Memory_UsedPercentage_1,ProcessingId_2,Processing_CPU_2,Processing_Memory_Total_2,Processing_Memory_Used_2,Processing_Memory_UsedPercentage_2,ProcessingId_3,Processing_CPU_3,Processing_Memory_Total_3,Processing_Memory_Used_3,Processing_Memory_UsedPercentage_3
0,2025-03-14T05:25:47.245Z,rnp1,2025-03-14T05:26:13.947Z,2025-03-14-02-25-44@2,0,2.49,6209687552,823156736,13.26,15.59,6209687552,72732672,1.17,,,,,,,,,,,,,,,
1,2025-03-14T05:25:48.253Z,rnp1,2025-03-14T05:26:14.952Z,2025-03-14-02-25-44@2,0,9.14,6209687552,822341632,13.24,173.85,6209687552,122855424,1.98,,,,,,,,,,,,,,,
2,2025-03-14T05:25:49.256Z,rnp1,2025-03-14T05:26:15.959Z,2025-03-14-02-25-44@2,0,87.37,6209687552,852160512,13.72,120.32,6209687552,72097792,1.16,,,,,,,,,,,,,,,
3,2025-03-14T05:25:50.258Z,rnp1,2025-03-14T05:26:16.963Z,2025-03-14-02-25-44@2,0,63.96,6209687552,794284032,12.79,157.01,6209687552,108683264,1.75,,,,,,,,,,,,,,,
4,2025-03-14T05:25:51.266Z,rnp1,2025-03-14T05:26:17.969Z,2025-03-14-02-25-44@2,0,79.4,6209687552,822087680,13.24,87.63,6209687552,75747328,1.22,,,,,,,,,,,,,,,
5,2025-03-14T05:25:52.273Z,rnp1,2025-03-14T05:26:18.974Z,2025-03-14-02-25-44@2,0,49.25,6209687552,813228032,13.1,28.01,6209687552,77127680,1.24,,,,,,,,,,,,,,,
6,2025-03-14T05:25:53.279Z,rnp1,2025-03-14T05:26:19.979Z,2025-03-14-02-25-44@2,0,17.58,6209687552,813096960,13.09,2.4,6209687552,77119488,1.24,,,,,,,,,,,,,,,
7,2025-03-14T05:25:54.291Z,rnp1,2025-03-14T05:26:20.996Z,2025-03-14-02-25-44@2,0,17.17,6209687552,812908544,13.09,2.12,6209687552,77123584,1.24,,,,,,,,,,,,,,,
8,2025-03-14T05:25:55.300Z,rnp1,2025-03-14T05:26:22.002Z,2025-03-14-02-25-44@2,0,56.99,6209687552,819851264,13.2,1.85,6209687552,77127680,1.24,,,,,,,,,,,,,,,
9,2025-03-14T05:25:56.306Z,rnp1,2025-03-14T05:26:23.011Z,2025-03-14-02-25-44@2,0,42.11,6209687552,832106496,13.4,2.01,6209687552,77115392,1.24,,,,,,,,,,,,,,,
10,2025-03-14T05:25:57.327Z,rnp1,2025-03-14T05:26:24.031Z,2025-03-14-02-25-44@2,2,97.3,6209687552,894443520,14.4,1.44,6209687552,77004800,1.24,83fabab1-4f41-4b08-a96c-0088bb668238,97.09,6209687552,78610432,1.27,3d9e52a8-c987-4819-8f5e-38c7b0bba215,96.04,6209687552,92426240,1.49,,,,,
11,2025-03-14T05:25:58.335Z,rnp1,2025-03-14T05:26:25.040Z,2025-03-14-02-25-44@2,2,100,6209687552,963907584,15.52,1.72,6209687552,77008896,1.24,83fabab1-4f41-4b08-a96c-0088bb668238,96.28,6209687552,109056000,1.76,3d9e52a8-c987-4819-8f5e-38c7b0bba215,96.98,6209687552,122589184,1.97,,,,,
12,2025-03-14T05:25:59.362Z,rnp1,2025-03-14T05:26:26.066Z,2025-03-14-02-25-44@2,2,100,6209687552,1018855424,16.41,1.89,6209687552,77008896,1.24,83fabab1-4f41-4b08-a96c-0088bb668238,96.64,6209687552,124780544,2.01,3d9e52a8-c987-4819-8f5e-38c7b0bba215,95.3,6209687552,134746112,2.17,,,,,
13,2025-03-14T05:26:00.377Z,rnp1,2025-03-14T05:26:27.077Z,2025-03-14-02-25-44@2,2,100,6209687552,1048158208,16.88,1.93,6209687552,77008896,1.24,83fabab1-4f41-4b08-a96c-0088bb668238,98.06,6209687552,142774272,2.3,3d9e52a8-c987-4819-8f5e-38c7b0bba215,96.97,6209687552,163594240,2.63,,,,,
14,2025-03-14T05:26:01.383Z,rnp1,2025-03-14T05:26:28.088Z,2025-03-14-02-25-44@2,2,100,6209687552,1074626560,17.31,1.87,6209687552,77008896,1.24,83fabab1-4f41-4b08-a96c-0088bb668238,97.55,6209687552,194293760,3.13,3d9e52a8-c987-4819-8f5e-38c7b0bba215,94.97,6209687552,212365312,3.42,,,,,
15,2025-03-14T05:26:02.392Z,rnp1,2025-03-14T05:26:29.098Z,2025-03-14-02-25-44@2,2,100,6209687552,1154592768,18.59,1.84,6209687552,77012992,1.24,83fabab1-4f41-4b08-a96c-0088bb668238,96.72,6209687552,230285312,3.71,3d9e52a8-c987-4819-8f5e-38c7b0bba215,95.7,6209687552,245714944,3.96,,,,,
16,2025-03-14T05:26:03.403Z,rnp1,2025-03-14T05:26:30.108Z,2025-03-14-02-25-44@2,2,100,6209687552,1232752640,19.85,1.85,6209687552,77017088,1.24,83fabab1-4f41-4b08-a96c-0088bb668238,97.41,6209687552,264458240,4.26,3d9e52a8-c987-4819-8f5e-38c7b0bba215,96.39,6209687552,278933504,4.49,,,,,
17,2025-03-14T05:26:04.420Z,rnp1,2025-03-14T05:26:31.126Z,2025-03-14-02-25-44@2,2,100,6209687552,1294729216,20.85,1.84,6209687552,77021184,1.24,83fabab1-4f41-4b08-a96c-0088bb668238,96.72,6209687552,288731136,4.65,3d9e52a8-c987-4819-8f5e-38c7b0bba215,95.73,6209687552,305422336,4.92,,,,,
18,2025-03-14T05:26:05.430Z,rnp1,2025-03-14T05:26:32.135Z,2025-03-14-02-25-44@2,2,100,6209687552,1337315328,21.54,1.76,6209687552,77025280,1.24,83fabab1-4f41-4b08-a96c-0088bb668238,92.21,6209687552,319459328,5.14,3d9e52a8-c987-4819-8f5e-38c7b0bba215,91.23,6209687552,322904064,5.2,,,,,
19,2025-03-14T05:26:06.446Z,rnp1,2025-03-14T05:26:33.150Z,2025-03-14-02-25-44@2,2,97.49,6209687552,1390297088,22.39,38.43,6209687552,77221888,1.24,83fabab1-4f41-4b08-a96c-0088bb668238,79.79,6209687552,331997184,5.35,3d9e52a8-c987-4819-8f5e-38c7b0bba215,75.47,6209687552,330981376,5.33,,,,,
20,2025-03-14T05:26:07.467Z,rnp1,2025-03-14T05:26:34.171Z,2025-03-14-02-25-44@2,2,100,6209687552,1417646080,22.83,31.91,6209687552,91500544,1.47,83fabab1-4f41-4b08-a96c-0088bb668238,81.08,6209687552,333254656,5.37,3d9e52a8-c987-4819-8f5e-38c7b0bba215,82,6209687552,332611584,5.36,,,,,
21,2025-03-14T05:26:08.483Z,rnp1,2025-03-14T05:26:35.185Z,2025-03-14-02-25-44@2,2,100,6209687552,1430458368,23.04,66.37,6209687552,128835584,2.07,83fabab1-4f41-4b08-a96c-0088bb668238,64.57,6209687552,338436096,5.45,3d9e52a8-c987-4819-8f5e-38c7b0bba215,62.5,6209687552,332681216,5.36,,,,,
