Count,ServerTime,WorkerName,WorkerTime,ProcedureId,ActiveProcessingCount,Host_CPU,Host_Memory_Total,Host_Memory_Used,Host_Memory_UsedPercentage,Worker_CPU,Worker_Memory_Total,Worker_Memory_Used,Worker_Memory_UsedPercentage,ProcessingId_1,Processing_CPU_1,Processing_Memory_Total_1,Processing_Memory_Used_1,Processing_Memory_UsedPercentage_1,ProcessingId_2,Processing_CPU_2,Processing_Memory_Total_2,Processing_Memory_Used_2,Processing_Memory_UsedPercentage_2,ProcessingId_3,Processing_CPU_3,Processing_Memory_Total_3,Processing_Memory_Used_3,Processing_Memory_UsedPercentage_3
0,2025-03-14T05:37:53.942Z,ms1,2025-03-14T05:38:20.628Z,2025-03-14-02-37-50@3,0,0.41,84233080832,2954387456,3.51,9.48,84233080832,69091328,0.08,,,,,,,,,,,,,,,
1,2025-03-14T05:37:54.940Z,ms1,2025-03-14T05:38:21.630Z,2025-03-14-02-37-50@3,0,0.81,84233080832,2955419648,3.51,143,84233080832,68349952,0.08,,,,,,,,,,,,,,,
2,2025-03-14T05:37:55.945Z,ms1,2025-03-14T05:38:22.631Z,2025-03-14-02-37-50@3,0,8.95,84233080832,3028623360,3.6,98.8,84233080832,95768576,0.11,,,,,,,,,,,,,,,
3,2025-03-14T05:37:56.944Z,ms1,2025-03-14T05:38:23.634Z,2025-03-14-02-37-50@3,0,6.68,84233080832,3069050880,3.64,33.72,84233080832,74993664,0.09,,,,,,,,,,,,,,,
4,2025-03-14T05:37:57.945Z,ms1,2025-03-14T05:38:24.635Z,2025-03-14-02-37-50@3,0,2.26,84233080832,3093925888,3.67,12.08,84233080832,76468224,0.09,,,,,,,,,,,,,,,
5,2025-03-14T05:37:58.980Z,ms1,2025-03-14T05:38:25.642Z,2025-03-14-02-37-50@3,3,26.5,84233080832,3193667584,3.79,1.06,84233080832,76083200,0.09,8862dd5a-6962-48c9-bd90-dfab66fb9671,100.11,84233080832,140140544,0.17,3e0f5fb7-13f7-4e65-a7ad-07d7d0a48d52,100.14,84233080832,139239424,0.17,6a9d5c4f-052a-4659-985b-851b068c40c3,100.34,84233080832,140029952,0.17
6,2025-03-14T05:37:59.959Z,ms1,2025-03-14T05:38:26.646Z,2025-03-14-02-37-50@3,3,19.49,84233080832,3468677120,4.12,1.1,84233080832,76345344,0.09,8862dd5a-6962-48c9-bd90-dfab66fb9671,100.19,84233080832,265125888,0.31,3e0f5fb7-13f7-4e65-a7ad-07d7d0a48d52,100.2,84233080832,264900608,0.31,6a9d5c4f-052a-4659-985b-851b068c40c3,100.07,84233080832,265322496,0.31
7,2025-03-14T05:38:00.970Z,ms1,2025-03-14T05:38:27.651Z,2025-03-14-02-37-50@3,3,19,84233080832,3840634880,4.56,1.04,84233080832,76083200,0.09,8862dd5a-6962-48c9-bd90-dfab66fb9671,101.15,84233080832,338014208,0.4,3e0f5fb7-13f7-4e65-a7ad-07d7d0a48d52,100.98,84233080832,338153472,0.4,6a9d5c4f-052a-4659-985b-851b068c40c3,100.99,84233080832,338059264,0.4
8,2025-03-14T05:38:01.970Z,ms1,2025-03-14T05:38:28.660Z,2025-03-14-02-37-50@3,3,19.21,84233080832,4046888960,4.8,1.68,84233080832,76070912,0.09,8862dd5a-6962-48c9-bd90-dfab66fb9671,255.2,84233080832,404553728,0.48,3e0f5fb7-13f7-4e65-a7ad-07d7d0a48d52,259.16,84233080832,405209088,0.48,6a9d5c4f-052a-4659-985b-851b068c40c3,259.33,84233080832,404570112,0.48
9,2025-03-14T05:38:02.978Z,ms1,2025-03-14T05:38:29.667Z,2025-03-14-02-37-50@3,3,47.57,84233080832,4156710912,4.93,2.46,84233080832,75890688,0.09,8862dd5a-6962-48c9-bd90-dfab66fb9671,364.9,84233080832,409546752,0.49,3e0f5fb7-13f7-4e65-a7ad-07d7d0a48d52,367.77,84233080832,409939968,0.49,6a9d5c4f-052a-4659-985b-851b068c40c3,369.16,84233080832,409231360,0.49
