Count,ActiveProcessingCount_mean,ActiveProcessingCount_median,ActiveProcessingCount_std_dev,ActiveProcessingCount_mode,Host_CPU_mean,Host_CPU_median,Host_CPU_std_dev,Host_CPU_mode,Host_Memory_Total_mean,Host_Memory_Total_median,Host_Memory_Total_std_dev,Host_Memory_Total_mode,Host_Memory_Used_mean,Host_Memory_Used_median,Host_Memory_Used_std_dev,Host_Memory_Used_mode,Host_Memory_UsedPercentage_mean,Host_Memory_UsedPercentage_median,Host_Memory_UsedPercentage_std_dev,Host_Memory_UsedPercentage_mode,Worker_CPU_mean,Worker_CPU_median,Worker_CPU_std_dev,Worker_CPU_mode,Worker_Memory_Total_mean,Worker_Memory_Total_median,Worker_Memory_Total_std_dev,Worker_Memory_Total_mode,Worker_Memory_Used_mean,Worker_Memory_Used_median,Worker_Memory_Used_std_dev,Worker_Memory_Used_mode,Worker_Memory_UsedPercentage_mean,Worker_Memory_UsedPercentage_median,Worker_Memory_UsedPercentage_std_dev,Worker_Memory_UsedPercentage_mode,Processing_CPU_1_mean,Processing_CPU_1_median,Processing_CPU_1_std_dev,Processing_CPU_1_mode,Processing_Memory_Total_1_mean,Processing_Memory_Total_1_median,Processing_Memory_Total_1_std_dev,Processing_Memory_Total_1_mode,Processing_Memory_Used_1_mean,Processing_Memory_Used_1_median,Processing_Memory_Used_1_std_dev,Processing_Memory_Used_1_mode,Processing_Memory_UsedPercentage_1_mean,Processing_Memory_UsedPercentage_1_median,Processing_Memory_UsedPercentage_1_std_dev,Processing_Memory_UsedPercentage_1_mode,Processing_CPU_2_mean,Processing_CPU_2_median,Processing_CPU_2_std_dev,Processing_CPU_2_mode,Processing_Memory_Total_2_mean,Processing_Memory_Total_2_median,Processing_Memory_Total_2_std_dev,Processing_Memory_Total_2_mode,Processing_Memory_Used_2_mean,Processing_Memory_Used_2_median,Processing_Memory_Used_2_std_dev,Processing_Memory_Used_2_mode,Processing_Memory_UsedPercentage_2_mean,Processing_Memory_UsedPercentage_2_median,Processing_Memory_UsedPercentage_2_std_dev,Processing_Memory_UsedPercentage_2_mode,Processing_CPU_3_mean,Processing_CPU_3_median,Processing_CPU_3_std_dev,Processing_CPU_3_mode,Processing_Memory_Total_3_mean,Processing_Memory_Total_3_median,Processing_Memory_Total_3_std_dev,Processing_Memory_Total_3_mode,Processing_Memory_Used_3_mean,Processing_Memory_Used_3_median,Processing_Memory_Used_3_std_dev,Processing_Memory_Used_3_mode,Processing_Memory_UsedPercentage_3_mean,Processing_Memory_UsedPercentage_3_median,Processing_Memory_UsedPercentage_3_std_dev,Processing_Memory_UsedPercentage_3_mode
0,0,0,0,0,0.41,0.41,0,0.41,84233080832,84233080832,0,84233080832,2954387456,2954387456,0,2954387456,3.51,3.51,0,3.51,9.48,9.48,0,9.48,84233080832,84233080832,0,84233080832,69091328,69091328,0,69091328,0.08,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0.81,0.81,0,0.81,84233080832,84233080832,0,84233080832,2955419648,2955419648,0,2955419648,3.51,3.51,0,3.51,143,143,0,143,84233080832,84233080832,0,84233080832,68349952,68349952,0,68349952,0.08,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,8.95,8.95,0,8.95,84233080832,84233080832,0,84233080832,3028623360,3028623360,0,3028623360,3.6,3.6,0,3.6,98.8,98.8,0,98.8,84233080832,84233080832,0,84233080832,95768576,95768576,0,95768576,0.11,0.11,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,6.68,6.68,0,6.68,84233080832,84233080832,0,84233080832,3069050880,3069050880,0,3069050880,3.64,3.64,0,3.64,33.72,33.72,0,33.72,84233080832,84233080832,0,84233080832,74993664,74993664,0,74993664,0.09,0.09,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,2.26,2.26,0,2.26,84233080832,84233080832,0,84233080832,3093925888,3093925888,0,3093925888,3.67,3.67,0,3.67,12.08,12.08,0,12.08,84233080832,84233080832,0,84233080832,76468224,76468224,0,76468224,0.09,0.09,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,3,0,3,26.5,26.5,0,26.5,84233080832,84233080832,0,84233080832,3193667584,3193667584,0,3193667584,3.79,3.79,0,3.79,1.06,1.06,0,1.06,84233080832,84233080832,0,84233080832,76083200,76083200,0,76083200,0.09,0.09,0,0.09,100.11,100.11,0,100.11,84233080832,84233080832,0,84233080832,140140544,140140544,0,140140544,0.17,0.17,0,0.17,100.14,100.14,0,100.14,84233080832,84233080832,0,84233080832,139239424,139239424,0,139239424,0.17,0.17,0,0.17,100.34,100.34,0,100.34,84233080832,84233080832,0,84233080832,140029952,140029952,0,140029952,0.17,0.17,0,0.17
6,3,3,0,3,19.49,19.49,0,19.49,84233080832,84233080832,0,84233080832,3468677120,3468677120,0,3468677120,4.12,4.12,0,4.12,1.1,1.1,0,1.1,84233080832,84233080832,0,84233080832,76345344,76345344,0,76345344,0.09,0.09,0,0.09,100.19,100.19,0,100.19,84233080832,84233080832,0,84233080832,265125888,265125888,0,265125888,0.31,0.31,0,0.31,100.2,100.2,0,100.2,84233080832,84233080832,0,84233080832,264900608,264900608,0,264900608,0.31,0.31,0,0.31,100.07,100.07,0,100.07,84233080832,84233080832,0,84233080832,265322496,265322496,0,265322496,0.31,0.31,0,0.31
7,3,3,0,3,19,19,0,19,84233080832,84233080832,0,84233080832,3840634880,3840634880,0,3840634880,4.56,4.56,0,4.56,1.04,1.04,0,1.04,84233080832,84233080832,0,84233080832,76083200,76083200,0,76083200,0.09,0.09,0,0.09,101.15,101.15,0,101.15,84233080832,84233080832,0,84233080832,338014208,338014208,0,338014208,0.4,0.4,0,0.4,100.98,100.98,0,100.98,84233080832,84233080832,0,84233080832,338153472,338153472,0,338153472,0.4,0.4,0,0.4,100.99,100.99,0,100.99,84233080832,84233080832,0,84233080832,338059264,338059264,0,338059264,0.4,0.4,0,0.4
8,3,3,0,3,19.21,19.21,0,19.21,84233080832,84233080832,0,84233080832,4046888960,4046888960,0,4046888960,4.8,4.8,0,4.8,1.68,1.68,0,1.68,84233080832,84233080832,0,84233080832,76070912,76070912,0,76070912,0.09,0.09,0,0.09,255.2,255.2,0,255.2,84233080832,84233080832,0,84233080832,404553728,404553728,0,404553728,0.48,0.48,0,0.48,259.16,259.16,0,259.16,84233080832,84233080832,0,84233080832,405209088,405209088,0,405209088,0.48,0.48,0,0.48,259.33,259.33,0,259.33,84233080832,84233080832,0,84233080832,404570112,404570112,0,404570112,0.48,0.48,0,0.48
9,3,3,0,3,47.57,47.57,0,47.57,84233080832,84233080832,0,84233080832,4156710912,4156710912,0,4156710912,4.93,4.93,0,4.93,2.46,2.46,0,2.46,84233080832,84233080832,0,84233080832,75890688,75890688,0,75890688,0.09,0.09,0,0.09,364.9,364.9,0,364.9,84233080832,84233080832,0,84233080832,409546752,409546752,0,409546752,0.49,0.49,0,0.49,367.77,367.77,0,367.77,84233080832,84233080832,0,84233080832,409939968,409939968,0,409939968,0.49,0.49,0,0.49,369.16,369.16,0,369.16,84233080832,84233080832,0,84233080832,409231360,409231360,0,409231360,0.49,0.49,0,0.49
