Count,ActiveProcessingCount_mean,ActiveProcessingCount_median,ActiveProcessingCount_std_dev,ActiveProcessingCount_mode,Host_CPU_mean,Host_CPU_median,Host_CPU_std_dev,Host_CPU_mode,Host_Memory_Total_mean,Host_Memory_Total_median,Host_Memory_Total_std_dev,Host_Memory_Total_mode,Host_Memory_Used_mean,Host_Memory_Used_median,Host_Memory_Used_std_dev,Host_Memory_Used_mode,Host_Memory_UsedPercentage_mean,Host_Memory_UsedPercentage_median,Host_Memory_UsedPercentage_std_dev,Host_Memory_UsedPercentage_mode,Worker_CPU_mean,Worker_CPU_median,Worker_CPU_std_dev,Worker_CPU_mode,Worker_Memory_Total_mean,Worker_Memory_Total_median,Worker_Memory_Total_std_dev,Worker_Memory_Total_mode,Worker_Memory_Used_mean,Worker_Memory_Used_median,Worker_Memory_Used_std_dev,Worker_Memory_Used_mode,Worker_Memory_UsedPercentage_mean,Worker_Memory_UsedPercentage_median,Worker_Memory_UsedPercentage_std_dev,Worker_Memory_UsedPercentage_mode,Processing_CPU_1_mean,Processing_CPU_1_median,Processing_CPU_1_std_dev,Processing_CPU_1_mode,Processing_Memory_Total_1_mean,Processing_Memory_Total_1_median,Processing_Memory_Total_1_std_dev,Processing_Memory_Total_1_mode,Processing_Memory_Used_1_mean,Processing_Memory_Used_1_median,Processing_Memory_Used_1_std_dev,Processing_Memory_Used_1_mode,Processing_Memory_UsedPercentage_1_mean,Processing_Memory_UsedPercentage_1_median,Processing_Memory_UsedPercentage_1_std_dev,Processing_Memory_UsedPercentage_1_mode,Processing_CPU_2_mean,Processing_CPU_2_median,Processing_CPU_2_std_dev,Processing_CPU_2_mode,Processing_Memory_Total_2_mean,Processing_Memory_Total_2_median,Processing_Memory_Total_2_std_dev,Processing_Memory_Total_2_mode,Processing_Memory_Used_2_mean,Processing_Memory_Used_2_median,Processing_Memory_Used_2_std_dev,Processing_Memory_Used_2_mode,Processing_Memory_UsedPercentage_2_mean,Processing_Memory_UsedPercentage_2_median,Processing_Memory_UsedPercentage_2_std_dev,Processing_Memory_UsedPercentage_2_mode,Processing_CPU_3_mean,Processing_CPU_3_median,Processing_CPU_3_std_dev,Processing_CPU_3_mode,Processing_Memory_Total_3_mean,Processing_Memory_Total_3_median,Processing_Memory_Total_3_std_dev,Processing_Memory_Total_3_mode,Processing_Memory_Used_3_mean,Processing_Memory_Used_3_median,Processing_Memory_Used_3_std_dev,Processing_Memory_Used_3_mode,Processing_Memory_UsedPercentage_3_mean,Processing_Memory_UsedPercentage_3_median,Processing_Memory_UsedPercentage_3_std_dev,Processing_Memory_UsedPercentage_3_mode
0,0,0,0,0,0.41,0.41,0,0.41,84233080832,84233080832,0,84233080832,2949304320,2949304320,0,2949304320,3.5,3.5,0,3.5,2.98,2.98,0,2.98,84233080832,84233080832,0,84233080832,68677632,68677632,0,68677632,0.08,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0.31,0.31,0,0.31,84233080832,84233080832,0,84233080832,2948984832,2948984832,0,2948984832,3.5,3.5,0,3.5,15.21,15.21,0,15.21,84233080832,84233080832,0,84233080832,67461120,67461120,0,67461120,0.08,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,1.07,1.07,0,1.07,84233080832,84233080832,0,84233080832,2947911680,2947911680,0,2947911680,3.5,3.5,0,3.5,104.96,104.96,0,104.96,84233080832,84233080832,0,84233080832,108130304,108130304,0,108130304,0.13,0.13,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,6.65,6.65,0,6.65,84233080832,84233080832,0,84233080832,3033673728,3033673728,0,3033673728,3.6,3.6,0,3.6,61.29,61.29,0,61.29,84233080832,84233080832,0,84233080832,70893568,70893568,0,70893568,0.08,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,4.68,4.68,0,4.68,84233080832,84233080832,0,84233080832,3002290176,3002290176,0,3002290176,3.56,3.56,0,3.56,13.01,13.01,0,13.01,84233080832,84233080832,0,84233080832,73420800,73420800,0,73420800,0.09,0.09,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,3.34,3.34,0,3.34,84233080832,84233080832,0,84233080832,3010166784,3010166784,0,3010166784,3.57,3.57,0,3.57,1.25,1.25,0,1.25,84233080832,84233080832,0,84233080832,73699328,73699328,0,73699328,0.09,0.09,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,2,0,2,29.63,29.63,0,29.63,84233080832,84233080832,0,84233080832,3255611392,3255611392,0,3255611392,3.87,3.87,0,3.87,1.07,1.07,0,1.07,84233080832,84233080832,0,84233080832,73707520,73707520,0,73707520,0.09,0.09,0,0.09,100.27,100.27,0,100.27,84233080832,84233080832,0,84233080832,232099840,232099840,0,232099840,0.28,0.28,0,0.28,100.21,100.21,0,100.21,84233080832,84233080832,0,84233080832,231895040,231895040,0,231895040,0.28,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,2,0,2,12.59,12.59,0,12.59,84233080832,84233080832,0,84233080832,3477094400,3477094400,0,3477094400,4.13,4.13,0,4.13,1.03,1.03,0,1.03,84233080832,84233080832,0,84233080832,73969664,73969664,0,73969664,0.09,0.09,0,0.09,101.04,101.04,0,101.04,84233080832,84233080832,0,84233080832,337149952,337149952,0,337149952,0.4,0.4,0,0.4,100.91,100.91,0,100.91,84233080832,84233080832,0,84233080832,337125376,337125376,0,337125376,0.4,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,2,0,2,13.05,13.05,0,13.05,84233080832,84233080832,0,84233080832,3671560192,3671560192,0,3671560192,4.36,4.36,0,4.36,1.32,1.32,0,1.32,84233080832,84233080832,0,84233080832,73711616,73711616,0,73711616,0.09,0.09,0,0.09,225.94,225.94,0,225.94,84233080832,84233080832,0,84233080832,404094976,404094976,0,404094976,0.48,0.48,0,0.48,225.1,225.1,0,225.1,84233080832,84233080832,0,84233080832,405241856,405241856,0,405241856,0.48,0.48,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,2,0,2,26.74,26.74,0,26.74,84233080832,84233080832,0,84233080832,3747409920,3747409920,0,3747409920,4.45,4.45,0,4.45,1.83,1.83,0,1.83,84233080832,84233080832,0,84233080832,73875456,73875456,0,73875456,0.09,0.09,0,0.09,416.93,416.93,0,416.93,84233080832,84233080832,0,84233080832,409939968,409939968,0,409939968,0.49,0.49,0,0.49,419.72,419.72,0,419.72,84233080832,84233080832,0,84233080832,410918912,410918912,0,410918912,0.49,0.49,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
