Count,ActiveProcessingCount_mean,ActiveProcessingCount_median,ActiveProcessingCount_std_dev,ActiveProcessingCount_mode,Host_CPU_mean,Host_CPU_median,Host_CPU_std_dev,Host_CPU_mode,Host_Memory_Total_mean,Host_Memory_Total_median,Host_Memory_Total_std_dev,Host_Memory_Total_mode,Host_Memory_Used_mean,Host_Memory_Used_median,Host_Memory_Used_std_dev,Host_Memory_Used_mode,Host_Memory_UsedPercentage_mean,Host_Memory_UsedPercentage_median,Host_Memory_UsedPercentage_std_dev,Host_Memory_UsedPercentage_mode,Worker_CPU_mean,Worker_CPU_median,Worker_CPU_std_dev,Worker_CPU_mode,Worker_Memory_Total_mean,Worker_Memory_Total_median,Worker_Memory_Total_std_dev,Worker_Memory_Total_mode,Worker_Memory_Used_mean,Worker_Memory_Used_median,Worker_Memory_Used_std_dev,Worker_Memory_Used_mode,Worker_Memory_UsedPercentage_mean,Worker_Memory_UsedPercentage_median,Worker_Memory_UsedPercentage_std_dev,Worker_Memory_UsedPercentage_mode,Processing_CPU_1_mean,Processing_CPU_1_median,Processing_CPU_1_std_dev,Processing_CPU_1_mode,Processing_Memory_Total_1_mean,Processing_Memory_Total_1_median,Processing_Memory_Total_1_std_dev,Processing_Memory_Total_1_mode,Processing_Memory_Used_1_mean,Processing_Memory_Used_1_median,Processing_Memory_Used_1_std_dev,Processing_Memory_Used_1_mode,Processing_Memory_UsedPercentage_1_mean,Processing_Memory_UsedPercentage_1_median,Processing_Memory_UsedPercentage_1_std_dev,Processing_Memory_UsedPercentage_1_mode,Processing_CPU_2_mean,Processing_CPU_2_median,Processing_CPU_2_std_dev,Processing_CPU_2_mode,Processing_Memory_Total_2_mean,Processing_Memory_Total_2_median,Processing_Memory_Total_2_std_dev,Processing_Memory_Total_2_mode,Processing_Memory_Used_2_mean,Processing_Memory_Used_2_median,Processing_Memory_Used_2_std_dev,Processing_Memory_Used_2_mode,Processing_Memory_UsedPercentage_2_mean,Processing_Memory_UsedPercentage_2_median,Processing_Memory_UsedPercentage_2_std_dev,Processing_Memory_UsedPercentage_2_mode,Processing_CPU_3_mean,Processing_CPU_3_median,Processing_CPU_3_std_dev,Processing_CPU_3_mode,Processing_Memory_Total_3_mean,Processing_Memory_Total_3_median,Processing_Memory_Total_3_std_dev,Processing_Memory_Total_3_mode,Processing_Memory_Used_3_mean,Processing_Memory_Used_3_median,Processing_Memory_Used_3_std_dev,Processing_Memory_Used_3_mode,Processing_Memory_UsedPercentage_3_mean,Processing_Memory_UsedPercentage_3_median,Processing_Memory_UsedPercentage_3_std_dev,Processing_Memory_UsedPercentage_3_mode
0,0,0,0,0,1.444,0.72,1.0616,0.72,20878358937.6,16595939328,22589491722.3702,16595943424,1145540198.4,941977600,619561804.674,802271232,8.375,6.3,3.9808,3.51,13.786,10.045,13.5735,1.81,20878358937.6,16595939328,22589491722.3702,16595943424,74974412.8,75728896,4149177.2595,67964928,0.699,0.48,0.4336,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,2.787,2.24,1.9777,0.81,20878358937.6,16595939328,22589491722.3702,16595943424,1144877875.2,936075264,620205220.0079,802271232,8.372,6.305,3.9863,3.51,62.05,52.095,40.8534,15.9,20878358937.6,16595939328,22589491722.3702,16595943424,77522534.4,76058624,8259040.0053,68349952,0.713,0.545,0.4262,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,16.012,12.545,12.1498,2.52,20878358937.6,16595939328,22589491722.3702,16595943424,1157672960,955555840,640019528.4077,804839424,8.415,6.305,3.963,3.6,66.633,45.105,62.3177,0.61,20878358937.6,16595939328,22589491722.3702,16595943424,84175667.2,79304704,15806685.4149,67792896,0.792,0.5,0.5748,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,13.44,9.36,9.8448,2.65,20878358937.6,16595939328,22589491722.3702,16595943424,1161630515.2,939147264,652148873.868,805617664,8.447,6.25,4.0429,3.64,92.252,81.345,77.8778,0.61,20878358937.6,16595939328,22589491722.3702,16595943424,97632256,86112256,26459920.7063,74276864,1.033,0.515,0.84,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.2,0,0.4,0,43.228,23.9,38.948,2.26,20878358937.6,16595939328,22589491722.3702,16595943424,1207104716.8,974292992,652288706.0627,820981760,8.776,6.58,4.1344,3.67,74.273,28.105,78.3189,0.68,20878358937.6,16595939328,22589491722.3702,16595943424,86849536,77240320,27086105.1137,70045696,0.857,0.51,0.7245,0.09,20.064,0,40.1282,0,4992394854.4,0,10662745770.8003,0,60628582.4,0,123774189.3855,0,0.257,0,0.5221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.2,1,1.249,0,51.839,56.315,33.6564,6.5,20878358937.6,16595939328,22589491722.3702,16595943424,1307208089.6,1202182144,676029390.8565,812183552,9.218,7.57,3.6872,3.79,45.802,1.125,58.3443,0.6,20878358937.6,16595939328,22589491722.3702,16595943424,87536025.6,82458624,14327145.9795,74285056,0.868,0.51,0.632,0.09,72.781,100.115,68.8617,0,18394485964.8,16595939328,24339470658.3882,0,138718003.2,141133824,141031248.8277,0,0.646,0.515,0.6975,0,30.059,0,45.9159,0,11742496768,0,25034376923.0444,0,48622387.2,0,74931639.8028,0,0.226,0,0.4136,0,30.072,0,45.9358,0,11742496768,0,25034376923.0444,0,54827008,0,85824386.9386,0,0.263,0,0.4891,0
6,1.4,1,1.3565,0,41.298,38.515,21.4279,12.55,20878358937.6,16595939328,22589491722.3702,16595943424,1427523584,1386678272,753587348.2467,815357952,9.775,9.18,3.3602,4.12,76.035,3.53,91.2875,0.66,20878358937.6,16595939328,22589491722.3702,16595943424,90728038.4,83812352,17956931.8492,74215424,0.92,0.515,0.6956,0.09,95.598,100.095,109.3567,0,18394485964.8,16595939328,24339470658.3882,0,190383718.4,254652416,163327961.4919,0,0.896,0.765,0.8875,0,40.053,0,49.0548,0,13402091110.4,0,24749398900.849,0,110552268.8,0,136301065.159,0,0.538,0,0.7648,0,39.975,0,48.9594,0,13402091110.4,0,24749398900.849,0,115070566.4,0,142368189.4256,0,0.564,0,0.8065,0
7,1.4,1,1.3565,0,56.21,37.97,33.0098,19,20878358937.6,16595939328,22589491722.3702,16595943424,1572673945.6,1495398400,867143942.6025,822738944,10.535,11.115,3.3593,4.56,52.711,19.455,62.9949,0.8,20878358937.6,16595939328,22589491722.3702,16595943424,84108492.8,79386624,15761566.2881,73486336,0.812,0.51,0.5913,0.09,107.315,100.025,123.5801,0,18394485964.8,16595939328,24339470658.3882,0,223177523.2,342992896,183426410.4123,0,1.059,0.81,1.0308,0,40.17,0,49.1985,0,13402091110.4,0,24749398900.849,0,143222784,0,175687521.9469,0,0.7,0,0.9897,0,40.831,0,50.0322,0,13402091110.4,0,24749398900.849,0,145863475.2,0,179186593.1529,0,0.715,0,1.0134,0
8,1.4,1,1.3565,0,46.568,40.74,21.3535,19.21,20878358937.6,16595939328,22589491722.3702,16595943424,1655742873.6,1497845760,953425970.1516,811376640,10.849,12.59,3.3385,4.8,56.426,38.575,53.2012,0.88,20878358937.6,16595939328,22589491722.3702,16595943424,86833152,81801216,16691319.638,76070912,0.773,0.51,0.457,0.09,116.121,125.38,105.9555,0,18394485964.8,16595939328,24339470658.3882,0,253627596.8,404396032,208942160.5288,0,1.181,0.995,1.1257,0,67.557,0,90.0701,0,13402091110.4,0,24749398900.849,0,164454400,0,201429938.7829,0,0.795,0,1.1185,0,87.106,0,109.2677,0,13402091110.4,0,24749398900.849,0,162372812.8,0,198869234.3988,0,0.782,0,1.0988,0
9,1.4,1,1.3565,0,40.756,42.14,20.9096,16.76,20878358937.6,16595939328,22589491722.3702,16595943424,1714864128,1571000320,999832332.7411,812621824,11.084,13.07,3.3327,4.93,18.29,5.19,29.1848,1.2,20878358937.6,16595939328,22589491722.3702,16595943424,81859788.8,81692672,4667674.0925,75890688,0.769,0.52,0.4857,0.09,151.792,196.065,134.2637,0,18394485964.8,16595939328,24339470658.3882,0,259965747.2,409661440,215227188.5435,0,1.208,1.05,1.1464,0,100.939,0,130.7413,0,13402091110.4,0,24749398900.849,0,167021363.2,0,204581312.0144,0,0.808,0,1.1364,0,100.812,0,130.8209,0,13402091110.4,0,24749398900.849,0,163496755.2,0,200243108.1017,0,0.788,0,1.1061,0
